,geoid,Census Tract,Population 12-17,"Population, error",POP00,POP10,Organization Name,County,DSA Track: Distinct Track Number,Priority,List Current and/or Planned Projects,Reason for priority?,Median Income,Median Income Error,In Labor Force,Civilian Labor Force,Employed,unemployed,Not in Labor Force,% Change Pop,% Unemployment
517,14000US39061008601,"Census Tract 86.01, Hamilton, OH",2206,209,4499,2217,Cincinnati Business Committee/REDI Cincinnati (Hamilton County Collaboration),Hamilton,39061008601,28,"Stone Ridge Landing: will provide 56 units of affordable housing for individuals who are 55 or older. Development will consist of 50 1-bedroom units and 6 2-bedroom units, with a community room and ample outdoor space. Half of the 56 units will be 504/ADA accessible. An additional 5% of units will be accessible for those with sight and sound impairments. The project is a critical component of the revitalization of the English Woods neighborhood.","This neighborhood has much potential for development, and a good deal of it is covered in green spaces and available lots. In recent years this neighborhood has see nearly $2 million in building permit activity.",16837,5741,826,826,591,235,737,-50.966881529228715,28.45036319612591
518,14000US39061009200,"Census Tract 92, Hamilton, OH",3885,525,4780,4003,Price Hill Will,Hamilton,39061009200,2,None currently known,High poverty,23899,7931,1523,1523,1277,246,1011,-18.723849372384937,16.152330925804335
519,14000US39061009200,"Census Tract 92, Hamilton, OH",3885,525,4780,4003,Cincinnati Business Committee/REDI Cincinnati (Hamilton County Collaboration),Hamilton,39061009200,4,"Q-Labs - 1920 Radcliff Drive: ($14,000,000). Remodeling of two existing buildings into approximately 25,000 square feet of office and warehousing space.","This census tract lies in the E. Price Hill neighborhood. East Price Hill is close to Cincinnati?s center, overlooking Downtown, the Ohio River, and Northern Kentucky. Construction activity in this tract over the last two years totals app. $10M.",23899,7931,1523,1523,1277,246,1011,-18.723849372384937,16.152330925804335
520,14000US39061009400,"Census Tract 94, Hamilton, OH",1553,332,1874,1634,Price Hill Will,Hamilton,39061009400,3,None currently known,High poverty,24871,5595,635,635,497,138,338,-17.12913553895411,21.73228346456693
521,14000US39061009400,"Census Tract 94, Hamilton, OH",1553,332,1874,1634,Cincinnati Business Committee/REDI Cincinnati (Hamilton County Collaboration),Hamilton,39061009400,24,"West Price Hill Gateway Maker renovate the facade of the 3810 Glenway Avenue building into a gateway for West Price Hill. This census track is in close proximity to others that have seen a great deal of development activity. Having an opportunity zone in this tract would allow for it to capitalize on the surrounding development momentum and seeks new project development and revitalization efforts.""","This community covers three square miles and has about 15,000 residents. This tract has seen nearly $2 million in building permit activity in recent years. An example of a project in this area includes the West Price Hill Gateway Maker.",24871,5595,635,635,497,138,338,-17.12913553895411,21.73228346456693
522,14000US39061021504,"Census Tract 215.04, Hamilton, OH",5825,587,6059,5935,Cincinnati Business Committee/REDI Cincinnati (Hamilton County Collaboration),Hamilton,39061021504,42,"Northland Boulevard (City Center): Federal/state transportation dollars part of $1.5 million road and streetscape improvement project along with several thousand dollars from the County ULAP to remove blighted buildings and contributed City funds to create 20+ acres of land for development. Private Investments: CPG (renovation), Sunrise Treatment Center (renovation), Steel Summit (expansion), LaRosa?s (renovation), Cincinnati Scuba and Aquatics (renovation). Future retail and Office development: 650 Northland Tower - a 60,000 SF, six-story office tower, Northland Retail Properties - two older retail centers, North Pointe Center and Forest Park Plaza retail. City-owned Property for Redevelopment: 20+ acres of land located throughout the Northland corridor.","This census tract includes the City Center of Forest Park including a 60,000 sf office tower ripe for redevelopment. It has approximately 20 acres of City owned land that is available for development. It has seen both private and public investment.",59619,7533,3129,3129,3045,84,1356,-3.862023436210596,2.684563758389262
523,14000US39061022700,"Census Tract 227, Hamilton, OH",3336,17,4099,3286,Cincinnati Business Committee/REDI Cincinnati (Hamilton County Collaboration),Hamilton,39061022700,12,"The Village of Lincoln Heights has opportunity on the current auto salvage property off of Wayne Avenue. The site is approximately 27 acres and could provide additional development, tax base and jobs to a community that truly needs this. In addition, some properties in the Techview Business Park could be redeveloped for additional tax base.","The Village of Lincoln Heights has opportunity on the current auto salvage property off of Wayne Avenue. The site is approximately 27 acres and could provide additional development, tax base and jobs to a community that truly needs this.",24055,4426,1320,1320,1034,286,1202,-18.614296169797512,21.666666666666668
524,14000US39061025600,"Census Tract 256, Hamilton, OH",3523,345,3671,3334,"DanaMont Square, LLC",Hamilton,39061025600,1,University Station - PHASE I,This tract needs support for a public parking garage to support future development.,44500,4672,2205,2205,2101,104,862,-4.03159901934078,4.71655328798186
525,14000US39061025600,"Census Tract 256, Hamilton, OH",3523,345,3671,3334,Cincinnati Business Committee/REDI Cincinnati (Hamilton County Collaboration),Hamilton,39061025600,19,"""Private Investment: University Station ($54,000,000 mixed use - Phase 1 - 315,000 sf of office, retail and residential); TriHealth Facility ($54,000,000 - multi-purpose 160,000 sf building); UDF's headquarters and ice cream factory are located in this census tract and they continually invest in the area. Government/Non-profit Investment: Multi-million dollar HCDC business incubator with approximately 70 entrepreneurial companies who could benefit from opportunity fund investments. Government investments include two Federal EDA Grants, a State of Ohio $400,000 412 grant, and annual Third Frontier funding of $600,000 invested into incubator. Proposed Projects: 13-acre Norwood Plaza site is planned for redevelopment; Phase II of University Station is slated to include 250,000 sf of additional office space and a possible hotel.""","This tract has both real estate and entrepreneurial investment opportunities. Investments of over $108,000,000 in the tract show private interest. Phase II of University Station is planned - potential to redevelop the 13-acre Norwood Plaza.",44500,4672,2205,2205,2101,104,862,-4.03159901934078,4.71655328798186
526,14000US39061026300,"Census Tract 263, Hamilton, OH",1035,270,1949,1217,Price Hill Will,Hamilton,39061026300,1,"Commercial renovation, funded with City of Cincinnati CDBG.","High poverty, active projects.",13580,7048,431,431,276,155,304,-46.89584402257568,35.96287703016242
527,14000US39061026300,"Census Tract 263, Hamilton, OH",1035,270,1949,1217,Finance Fund,Hamilton,39061026300,63,1 project funded through our CDFI.,There is a high likelihood of project completion.,13580,7048,431,431,276,155,304,-46.89584402257568,35.96287703016242
528,14000US39061026300,"Census Tract 263, Hamilton, OH",1035,270,1949,1217,Cincinnati Business Committee/REDI Cincinnati (Hamilton County Collaboration),Hamilton,39061026300,17,"Nehemiah Manufacturing: After a fire destroyed the Queen City Barrel building in Lower Price Hill, the City of Cincinnati strategically acquired the site, which included approximately 100 parcels totaling 18 contiguous acres. The site acquisition was intended to establish a much-needed development site within its urban core, while offering access to existing industrial infrastructure imperative to attracting new manufacturing operations; The site was renamed Metro West Commerce Park. Metro West required full-scale environmental assessment and complex soil and groundwater remediation, as the area?s +100-year heavy industrial history resulted in contamination and associated environmental liability the private market would not address. Acquisition, cleanup, demolition, and infrastructure improvement activities totaled $9.8 Million, which was funded through various local, State and Federal programs and competitive grants. The project was in-process for a decade, receiving environmental regulatory approvals in 2014 to accommodate development. The City also worked with Nehemiah Manufacturing Company, LLC (Nehemiah), a local consumer products manufacturer/re-packager, to realize its corporate mission to ?build brands, create jobs, and change lives?. Dan Meyer and Richard Palmer founded Nehemiah in 2009, leveraging their successful business experiences at companies including Procter & Gamble and other multi-million-dollar firms. Nehemiah creates job opportunities for the chronically unemployed in the inner city to achieve steady work and the hope of a better future. As Nehemiah?s space and production needs expanded, the City offered 7 of its newly-available acres to accommodate a new development and consolidation for Nehemiah, located in the heart of its target workforce population. The project includes construction of a new 180,000-sf, $12 Million office and warehouse facility. The building will house its corporate headquarters and all Nehemiah manufacturing/distribution functions, and uniquely offers social services in-house to holistically support its workforce beyond employment considerations. The building is expected to be completed in the first quarter of 2018. Other project examples include: McAndrew's Glass - $825,000 Renovation of vacant/dilapidated 50,000 sf industrial building for use as new mfg. facility with $900,000 payroll in the City; SFA Architects - Catalytic project, consisting of 60,000 sf renovation of vacant/dilapidated building into new Headquarters for Architectural firm. Total private investment nearly $5 Million. Public Investment: City funding Port Authority demolition/environmental abatement and cleanup of the former Hudepohl Brewery facility. Includes contribution from US EPA for environmental mitigation measures, total public funds invested approximately $3 Million.""","The neighborhoods in this census tract are by and large industrial, with an increasing number of businesses and restaurants.Permitted construction activity in this tract over the last 2 years totals approximately $154,000,000.",13580,7048,431,431,276,155,304,-46.89584402257568,35.96287703016242
529,14000US39061026300,"Census Tract 263, Hamilton, OH",1035,270,1949,1217,The Office of Congressman Steve Chabot,Hamilton,39061026300,2,"A description of projects currently underway can be obtained by contacting Harry Black, City Manager for the City of Cincinnati. His office number is (513) 352-3243.","The area around the Western Hills Viaduct is in need of development. As the City of Cincinnati considers how it will replace the viaduct, the area surrounding it should be considered as it will be a major driver of economic growth in the city.",13580,7048,431,431,276,155,304,-46.89584402257568,35.96287703016242
530,14000US39061026400,"Census Tract 264, Hamilton, OH",2677,279,2746,2519,The Community Builders Inc,Hamilton,39061026400,1,"Continued development of the West End neighborhood including the City West community, a $180M HUD funded (1998) HOPE VI site. Current proposals include preservation of affordable housing, a new United Soccer League stadium and parking garages, a new Cincinnati Public School athletic facility, and accompanying commercial retail activity along Linn Street.",The West End abuts downtown. Proposed development aligns with City plans for continued redevelopment of the Over the Rhine and other downtown neighborhoods. Preservation of affordable housing is vital to achieve community supported development.,23125,5740,1139,1139,1058,81,709,-2.5127458120903134,7.111501316944688
531,14000US39061026400,"Census Tract 264, Hamilton, OH",2677,279,2746,2519,Cincinnati Business Committee/REDI Cincinnati (Hamilton County Collaboration),Hamilton,39061026400,2,FC Cincinnati Stadium: FC Cincinnati is an established and wildly successful minor league soccer team. FCC is a finalist under consideration for admittance to the Major League Soccer (MLS) league. FCC is considering construction a $250 million privately funding soccer specific stadium in this tract. The City of Cincinnati and the Hamilton County would also be contributing infrastructure funding in support of the stadium development.,"The neighborhood includes restored Italianate architecture on the National Register of Historic Places. Permitted construction activity in this tract over the last two years is approximately $2,600,000.",23125,5740,1139,1139,1058,81,709,-2.5127458120903134,7.111501316944688
532,14000US39061026400,"Census Tract 264, Hamilton, OH",2677,279,2746,2519,The Office of Congressman Steve Chabot,Hamilton,39061026400,3,"A description of projects currently underway can be obtained by contacting Harry Black, City Manager for the City of Cincinnati. His office number is (513) 352-3243.",The West End is a predominately African-American part of Cincinnati that is ripe for development due to its proximity to Over the Rhine. It has a diverse business climate and has many spaces ready for investment and improvement.,23125,5740,1139,1139,1058,81,709,-2.5127458120903134,7.111501316944688
533,14000US39061026500,"Census Tract 265, Hamilton, OH",2684,201,1664,2159,"Sieber Vine Holdings, LLC",Hamilton,39061026500,1,"Property at 622 Vine Street, Cincinnati, Hamilton County, Ohio 45202 in the Census Tract is listed on the National Historic Register. Property is vacant and blighted. Renovation of property as presently planned for retail and residential purposes would create jobs, eliminate blight and bolster and encourage other nearby development and support other nearby businesses.",,66771,23871,1973,1973,1725,248,605,61.29807692307693,12.569690826153066
534,14000US39061026500,"Census Tract 265, Hamilton, OH",2684,201,1664,2159,Cincinnati Business Committee/REDI Cincinnati (Hamilton County Collaboration),Hamilton,39061026500,1,"4th and Race Redevelopment: A 900 space existing garage has been completely demolished and will be replaced with an $83 million 15 story mixed-use building featuring 250 apartment units and 25,000sf of retail space. 309 Vine St: City Club LLC is renovating the Union Central Life Building Annex into 300 market rate residential apartments; 18,000 square feet of retail; and 24,500 sf of office space. The project will cost $75,000,000. 432 Walnut St: Planned redevelopment of the 15 story Tri-State building from office into a boutique hotel concept called Kimpton. The project will cost $44,000,000. Burke, Inc.: Burke is currently constructing a new office building containing approximately 25,000 square feet with a total construction cost of approximately $5,000,000 and 30 new full time permanent jobs. 8 East 4th St: BAM Realty Group, LLC is renovating this location into a mixed use building. The first floor will house a 6,000 sf Sleepy Bee Cafe. The second and third floor will include have 10,000 sf of office space and 2,000 sf for a bar, respectively. The total project cost is approximately $2,000,000. Messer Construction: The Messer Construction Company relocated to the West End neighborhood into a newly constructed $12,500,000, 50,000 SF office building. The project retained 116 jobs in the City of Cincinnati and the company is adding an additional 40 jobs.","This census tract lies in the Downtown neighborhood of Cincinnati. Permitted construction activity in this tract over the last 2 years is approximately $343,000,000.11 projects are currently being tracked as in progress, predevelopment or planned.",66771,23871,1973,1973,1725,248,605,61.29807692307693,12.569690826153066
535,14000US39061027000,"Census Tract 270, Hamilton, OH",3074,476,4515,3518,"Uptown Consortium, Inc.",Hamilton,39061027000,1,"Current Project: Uptown Innovation Corridor: Leverages proximity to the University of Cincinnati and the Uptown research and innovation community to create of an urban mixed-use development to stimulate private investment, retain and expand existing local employment and attract new jobs and spin-off business opportunities. The Corridor includes nearly 44 acres of sites supporting 2 million sq ft of office, research and lab space, as well as housing and hospitality. Public investment: The State of Ohio, City of Cincinnati, and OKI invested $80 million+ in a new interchange at I-71/MLK. GSA/NIOSH plans to invest $110 million in a new research and office facility. Non-profit investment: The Uptown Consortium has invested over $25 million in planning and land assemblage. The University of Cincinnati has invested $38 million in the UC 1819 Innovation Hub. Private Investment: Private development partners have plans for over $500 million in project investments resulting in significant job creation/retention and space to grow the region?s innovation economy.",The Uptown Innovation Corridor is located within this census tract. Nearly 44 acres of land have been assembled and are ready for development.,10759,3645,1030,1030,784,246,1366,-31.91583610188261,23.883495145631066
536,14000US39061027000,"Census Tract 270, Hamilton, OH",3074,476,4515,3518,Development Strategies Group,Hamilton,39061027000,1,"This census tract is part of the Innovation Corridor being developed by private developers, the Uptown Consortium, the University of Cincinnati and the City of Cincinnati. The Corridor will attract life science and bio-health companies attracted by the world class research underway at Cincinnati Children's Hospital, the University and the NIOSH lab planned for location in the Corridor. Site work will begin this year and a spec office building and hotel will be under construction in the first quarter of 2019. Designation will accelerate the development of additional office space. The recommendation is supported by REDI.",,10759,3645,1030,1030,784,246,1366,-31.91583610188261,23.883495145631066
537,14000US39061027000,"Census Tract 270, Hamilton, OH",3074,476,4515,3518,Cincinnati Business Committee/REDI Cincinnati (Hamilton County Collaboration),Hamilton,39061027000,10,"Vernon Manor Phase 2: Neyer will build a $41 million new construction office facility that will be fully leased by Cincinnati Children's Hospital (CCHMC). The 145,000 sq. ft. office building will sit on top of a new 762 space, 5-level parking garage (currently a surface parking; CDC/NIOSH Shared Campus development at MLK/Reading: This approximately $110,000,000 project will encompass approx. 220,000 sf of Office/Laboratory space, and will house nearly 550 federal employees. Avondale Town Center: A Choice Neighborhood designation, Avondale Town Center will include the complete transformation of blighted strip mall into 69 units of mixed-income housing and roughly 75,000 sf. of commercial space, anchored by a grocery store, laundromat, and health clinic. An additional 50 units of housing will be developed on the 3rd and 4th floors of one of the new buildings. Financing for a NMTC portion of the project includes $10M from HUD Choice Neighborhoods, $4.3M from the City of Cincinnati, and approximately $11M of NMTC equity based on over $32M of NMTC allocation. Project is under construction. Burnet Avenue Corridor Redevelopment: A multi-phase mixed use development leveraging proximity to Cincinnati Children?s Hospital Medical Center and the University of Cincinnati Medical Center. The project will include a 45,000 sq. ft. office building featuring minority and women owned businesses, over 350 housing units, and supportive retail and hospitality in the severely distressed neighborhood of Avondale. Cincinnati Children?s Hospital is currently building a $650 million patient tower. Ronald McDonald House is planning a $20 million expansion. The Uptown Consortium, Inc. has invested over $10 million in site assemblage, site prep, and development through use of a NMTC allocation and member capital. A private developer is planning to undertake a $150+ million in project investments resulting in jobs and commercial services for residents and nearby employees of the anchor institutions. This project will return a once blighted and high crime area into a thriving mixed-use district. Uptown Innovation Corridor: The Corridor includes nearly 44 acres of sites supporting 2 million sq. ft. of office, research and lab space, as well as housing and hospitality. The University of Cincinnati has invested $38 million in an under construction UC 1819 Innovation Hub.""","Adjacent to the just completed $80,000,000 MLK freeway Interchange, Avondale is a prime community for development. Permitted construction activity in this tract over the last 2 years totals approximately $85,000,000.",10759,3645,1030,1030,784,246,1366,-31.91583610188261,23.883495145631066
538,14000US39061027100,"Census Tract 271, Hamilton, OH",3767,417,4270,4216,Roselawn Community Urban Redevelopment Corporation,Hamilton,39061027100,1,"Hamilton County Redevelopment Authority (HCRA) has purchased, and is developing, the site at 2100 Section Road (formerly Gibson Cards, Census Tract 233 Amberley Village) for light manufacturing. This site is 1/2 mile away from our Neighborhood Business District (NBD) Gateway (Reading and Section Roads). Because Amberley Village has never had, and does not currently have, retail enterprise, Roselawn NBD has traditionally served as its local business district. City of Cincinnati Ordinance No.175-2016 allocated $3 million to Roselawn and Bond Hill redevelopment. This fund is jointly administered by HCRA and CEAI. The Valley Shopping Center (Parcel 117-0014-0095-00) is targeted for purchase using these funds. At the NBD Gateway Intersection (Reading Road and Section Road), ownership is as follows: NE quadrant (7460 Reading Road, Parcel 117-0A07-0035-00): HCRC has an option to purchase, and has begun envirorimental analysis here. SE quadrant (7364 Reading Road, Parcel 117-0009-0131-00) transferred ownership in 2016, and is currently undergoing $1+million renovation with private funding. SW quadrant (7401 Reading Road, Parcel 117-0A07-0034-00) transferred ownership to HCRA in 2016. SW quadrant (7405 Reading Road, Parcel 117-0A07-0035-00) owned by the Roselawn Community Urban Redevelopment Corporation since 1986, operated as a public parking facility and community greenspace. NWquadrant (7505-11 Reading Road, Parcel 117-0A07-0035-00) transferred 11/17, currently under renovation with private funding.","NBD Gateway Intersection: 1. Most densely populated 1/4-mile radius in the neighborhood, 2.Gateway to the Roselawn NBD, 3. Bisected by Metro Route 43, 4. Crossroads of SR42 (N<->S (Reading Road) and Section Road (E<->W from I-75)",15805,6950,1462,1462,1306,156,1885,-11.779859484777518,10.6703146374829
539,14000US39061027100,"Census Tract 271, Hamilton, OH",3767,417,4270,4216,Cincinnati Business Committee/REDI Cincinnati (Hamilton County Collaboration),Hamilton,39061027100,8,"(1) Roselawn Senior: $12 MM LIHTC senior apartment development under construction (2) RBI Techsolve / RBI Solar - CRA: Developer and employer will invest $4,700,000 to expanding an existing manufacturing facility from 71,000 SF to 124,00 SF. The expansion will result in the creation of 20 permanent jobs and $803,720 in new annual payroll. (3) Roselawn Center Renovation: The Developer plans to renovate the Property at a construction cost of approximately $1,473,000 to preserve an historically significant mixed use building containing over 60,000 SF of commercial space. (4) $11.8 MM Jet Machine Mfg. expansion underway to create 52 new jobs at a 100,000 SF new assembly facility, at TechSolve II, which is the site of a former vacant/blighted retail strip center that was acquired and demolished through a City/GCRA partnership. (5) $3.5 MM expansion of Path Forward, an IT/call center firm that was able to retain 151 jobs and create 150 new jobs in Bond Hill in 2017""","This census tract lies in the Roselawn neighborhood of Cincinnati. Permitted construction activity in this tract over the last 2 years totals approximately $27,000,000. 5 projects are currently being tracked as in progress, predevelopment or planned.",15805,6950,1462,1462,1306,156,1885,-11.779859484777518,10.6703146374829
540,14000US39061027200,"Census Tract 272, Hamilton, OH",2290,345,3273,2368,South Fairmount Community Council,Hamilton,39061027200,1,"Since the 1800s, the Mill Creek has been the epicenter of Cincinnati?s growth and economic development. Located immediately west of the City?s urban core, working class neighborhoods sprang up within walking distance to jobs at the breweries, pork processing plants, machine shops and soap factories that turned Cincinnati into an industrial powerhouse. As the factories shut down and jobs were lost, these communities have struggled with poverty, vacant buildings, aging transportation and water management infrastructure. Our vision is to rebuild the communities in the Lower Mill Creek Valley, returning the corridor to its role as one of the City?s most productive centers of economic activity. The neighborhoods of South Fairmount (Tract 272), South Cumminsville/Millvale (Tract 77), and North Fairmount (Tract 86), are designated as Neighborhood Revitalizations Strategy Areas (NRSA), and a Historically Underutilized Business (HUB) Zone. A 2009 ?Growth and Opportunities (GO) Cincinnati? study recommended reindustrializing the corridor with advanced manufacturing. The City and County have focused on creating job-ready sites in key industrial locations along Beekman Street, identifying opportunity for development due to interstate highway access and proximity to local hospitals, educational institutions, and downtown. Precedent exists for the success of this plan in the neighborhood just north of these communities called Northside. Now a thriving center of activity and real estate, just 15 years ago, Northside was suffering from the same lack of investment. As a result of $44.5 million of investments into infrastructure, housing, transit and more the neighborhood has come back to life. We envision following the same model in the Lower Mill Creek Valley to renew the area. Already, government and private entities have noticed the opportunity: In North and South Fairmount: ? One of the most transformative projects is being led by Metropolitan Sewer District (MSD) of Cincinnati. It is undertaking its largest project ever and one of the largest in the country. The heart of that project is in South Fairmount along its main road. MSD will spend $195 million on projects in South and North Fairmount, creating a public greenspace and green infrastructure to improve storm sewer run off. ? In addition, the city and county are replacing the nearby Western Hills Viaduct, a $400 million project that will improve transportation and access for all of the Mill Creek area. When these projects are finished, the now-blighted corridor will be ready for redevelopment with an influx of capital and people. ? Just last year, Cincinnati Public Schools used $1.3 million to renovate the old North Fairmount Elementary, turning it into a magnet school that attracts families from around the city. ? Nearby, in English Woods, (census tract 86), the Cincinnati Metropolitan Housing Authority is beginning redevelopment of 45 acres- the largest piece of vacant residential land in the city, with plans to create an urban village. This will mean an influx of homeowners and renters with demand for a renewed business district. In South Cumminsville: ? Planned $1 million from WIN for sustainable housing ? $4.5 million invested in improved roads and sidewalks ? Planned $14.5 million investment into housing by a nonprofit developer ? $1 million expansion by local industry ? $800,000 into parks and recreation from the city and Cincinnati businesses These neighborhoods are geographically and culturally connected. An investment in one will spur growth in the others. With a thriving community just north in Northside and a huge infrastructure project underway in the southern end, the Beekman Corridor or Lower Mill Creek Valley lacks only serious and sustained investment to jumpstart its renewal.","I live in this community and I believe that due to current conditions, this site would benefit most from the Opportunity Zone Program",19107,6218,833,833,609,224,898,-30.033608310418575,26.89075630252101
541,14000US39061027200,"Census Tract 272, Hamilton, OH",2290,345,3273,2368,Working In Neighborhoods,Hamilton,39061027200,2,"South Fairmount (tract 272) is the home of one of the largest infrastructure projects in Cincinnati?s history. The Metropolitan Sewer District is undertaking a major stormwater management project worth $195 million. In addition, the city and county are replacing the nearby Western Hills Viaduct, a $400 million project that will improve transportation and access for all of the Beekman Street Corridor. The City is also investing $150,000 in additional outdoor improvements. This is a gateway community for Census Tract 77, and will dramatically increase the impact of investments in 77 and 86. The infrastructure and transportation projects in this tract mean better access to transportation, health and land values in the other communities along the Beekman Street Corridor. Additionally, this community has a number of former factories and industrial buildings that could benefit from redevelopment into residential, retail or manufacturing hubs.",Tract 272 is seeing some of the largest public investments from the sewer project and viaduct in the entire city. It makes sense to connect that development with additional investments along the Beekman Street Corridor.,19107,6218,833,833,609,224,898,-30.033608310418575,26.89075630252101
542,14000US39061027400,"Census Tract 274, Hamilton, OH",4376,204,4607,4194,Cincinnati Business Committee/REDI Cincinnati (Hamilton County Collaboration),Hamilton,39061027400,11,"State & Local grants used to remediate four brownfield sites: American Tissue: $2,104,000 Clean Ohio Grant; Stearns & Foster: $339,333 Clean Ohio Grant, $1,500,000 Clean Ohio Grant, ODOT Building Demolition, $20,000 CDBG Planning Grant; Hamilton County Regional Business Park: $2,882,130 Clean Ohio Grant; Verwandt Project: $750,000 Clean Ohio Assistance Fund Grant, $500,000 Industrial Sites Improvement Fund Grant New Construction and companies on these sites includes: First Star Safety, Adleta Construction, RLA Utilities, Down Décor, Premier Foods, Fredericks Landscaping, UAW Contractors, Allied Construction Industries; 25 companies are housed on former American Tissue site. Available Land: 67 acres; An additional 200,000 sq ft of advanced manufacturing is envisioned for the Stearns and Foster Site. USEPA Grants used to develop sites: 1999 Brownfield Assessment Demonstration Pilot Grant; 1999 Supplemental Brownfield Pilot Grant; and 2012 Brownfield Assessment Grant.""","Lockland has multiple large sites that are primed for redevelopment. In total there are over 67 acres on the former Celotex sites and an additional space for up to 200,000 sf of advanced manufacturing space on former Stearns and Foster sites.",32700,3567,2255,2255,2034,221,1133,-5.014108964619058,9.800443458980045
543,14000US39063000100,"Census Tract 1, Hancock, OH",4211,123,4362,4208,Fostoria Economic Development Corporation,Hancock,39063000100,4,New Mill in progress for the Mennel Milling Company (to be completed in 2018),This tract received 4th priority because it is mostly agriculture and has potential for development as agri-business and the food industry continue to grow in Ohio.,41342,3216,1838,1838,1790,48,1452,-3.461714809720312,2.6115342763873777
544,14000US39067975600,"Census Tract 9756, Harrison, OH",3875,285,3921,3825,Appalachian Partnership for Economic Growth,Harrison,39067975600,1,"Mark West's Hopedale fractionator plant, the largest of its kind east of the Mississippi River, is located within this tract. An expansion of the plant has been announced and will take place during 2018.",This latest Mark West investment will lead to additional investment in the area and possibly the co-location of another plant. The plant sits along the U.S. 22/Ohio 250 corridor which has been designated as a rural transit freight route.,40787,3058,1615,1615,1518,97,1387,-1.1731701096659015,6.006191950464396
545,14000US39067975600,"Census Tract 9756, Harrison, OH",3875,285,3921,3825,"Harrison County, Ohio (Harrison County CIC)",Harrison,39067975600,2,"9756, Harrison County MarkWest Hopedale Plant, Largest Fractionator east of the Mississippi River. New expansion just announced. The expansion will be a natural gas liquids (NGL) fractionation unit system that will recover propane, isobutane, normal butane and natural gasoline from Marcellus and Utica shale NGL production to be used as feed stock in petrochemical manufacturing. The expansion will be completed in the fourth quarter of 2018. The MarkWest Hopedale Plant expansion will lead to more investment in Harrison County and possible co-location of businesses in and around the Hopedale Plant. Specifically plastics, polymer, and petrochemical plants. This plant currently sits directly along the route US250 to 22 corridor which is a rural transit freight route (designated by USDOT). Which is also part of the Columbus to Pittsburgh Corridor, less than 30% of the route needs finished. This part is currently four lanes to Pittsburgh. The Oil and Gas industry has indicated this would greatly benefit the play and moving of goods and services to have the route finished to four lanes to the west. Without the Columbus to Pittsburgh Corridor finished it will deter any future large investments in Eastern Ohio specifically Harrison County. This is a once in a generation second chance for Eastern Ohio and Harrison County to diversify our economies to right the wrongs of the past and be able to weather future economic downturns and provide good long term paying jobs for our children's children.",The investment in the MarkWest Hopedale plant that was just announce and be completed by fourth quarter of this year. Which will spur other investments to locate as close to the feed stock of this plant as possible.,40787,3058,1615,1615,1518,97,1387,-1.1731701096659015,6.006191950464396
546,14000US39069000400,"Census Tract 4, Henry, OH",3445,277,3656,3331,Maumee Valley Planning Organization,Henry,39069000400,1,"The City of Napoleon is partnering with a private developer to develop industrial space for lease or sales in an Industrial Park along the US 24 Corridor. 100,000 s.f of space is currently under construction. Henry County is seeking to develop a new bridge crossing over the Maumee River on Industrial Drive that will provide direct access for Campbell Soup and a large warehouse facility to US 24. This access will also provide for the utilization of a rail transload facility for an alternative shipping option. The bridge project is supported by ODOT and local tax revenues. The County will be seeking US EDA funding to complete the funding package for the construction of the bridge. This will enhance the long-term viability of the Campbell's facility in Henry County.",,40197,6842,1750,1750,1611,139,1087,-5.771334792122539,7.942857142857143
547,14000US39071954400,"Census Tract 9544, Highland, OH",4043,353,3821,4177,Highland County Commissioners,Highland,39071954400,1,"Corvac - $13,725,000 Adient - $7,200,000",Area includes industrial park in the final stages of certification. Over the last couple of years the area has seen attraction & expansion projects.,32000,6109,1810,1810,1585,225,1331,5.809997382884062,12.430939226519337
548,14000US39071954400,"Census Tract 9544, Highland, OH",4043,353,3821,4177,Ohio Valley Regional Development Commission,Highland,39071954400,35,CORVAC Project Pageturner,"Recent investment activity, LMI percentage.",32000,6109,1810,1810,1585,225,1331,5.809997382884062,12.430939226519337
549,14000US39071954400,"Census Tract 9544, Highland, OH",4043,353,3821,4177,APEG,Highland,39071954400,1,"160 acre South Central Ohio Industrial Park; seven (7) manufacturing operations Heavy automotive supply chain cluster Corvac Composites, $13.7 million; Adient, $7.2 million",Area includes industrial park in the final stages of SiteOhio certification. Has seen attraction and expansion projects over last few years. Opportunity Zone designation will boost interest in available sites.,32000,6109,1810,1810,1585,225,1331,5.809997382884062,12.430939226519337
550,14000US39071954800,"Census Tract 9548, Highland, OH",4350,258,4014,4301,Highland County Commissioners,Highland,39071954800,2,"Hobart/ITW - $675,000 PAS - $3,000,000",New corridor provides opportunity for growth. Well-established business park contains thriving manufacturers.,33028,3327,1739,1739,1622,117,1745,8.370702541106128,6.7280046003450265
551,14000US39071954800,"Census Tract 9548, Highland, OH",4350,258,4014,4301,Ohio Valley Regional Development Commission,Highland,39071954800,10,"Highland District Hospital ER Cardiac Monitoring Equipment, Turning Point Applied Learning Center Training for Justice-Involved Persons","Recent investment activity, LMI percentage.",33028,3327,1739,1739,1622,117,1745,8.370702541106128,6.7280046003450265
